City,Airport Code,Trip Distance (km),Total Distance (km)
Lampedusa,LMP,3356.61,1.04539e+07
Palermo,PMO,3576.15,1.04575e+07
Pantelleria,PNL,3712.4,1.04612e+07
Venice,VCE,4305.85,1.04655e+07
Reggio Calabria,REG,4249.33,1.04698e+07
Torino,TRN,4432.33,1.04742e+07
Trapani,TPS,4836.07,1.04791e+07
Rome,CIA,4041.49,1.04831e+07
Alghero,AHO,4504.62,1.04876e+07
Rome,CIA,4607.6,1.04922e+07
Cagliari,CAG,4364.34,1.04966e+07
Naples,NAP,4270.67,1.05008e+07
Olbia,OLB,4233.22,1.05051e+07
Genoa,GOA,4933.33,1.051e+07
Catania,CTA,4504.01,1.05145e+07
Milan,LIN,4337.24,1.05188e+07
Cagliari,CAG,4944.74,1.05238e+07
Parma,PMF,4795.15,1.05286e+07
Trapani,TPS,4541.3,1.05331e+07
Cuneo,CUF,4614.8,1.05377e+07
Bucharest,OTP,4474.9,1.05422e+07
Rome,CIA,3319.35,1.05455e+07
Bolzano,BZO,4724.08,1.05503e+07
Marina Di Campo,FCO,4791.98,1.05551e+07
Munich,MUC,5055.98,1.05601e+07
Bologna,BLQ,5094.24,1.05652e+07
Chisinau,KIV,4074.94,1.05693e+07
Treviso,TSF,3507.83,1.05728e+07
Bari,BRI,4371.87,1.05772e+07
Ronchi De Legionari,TRS,4109.3,1.05813e+07
Naples,NAP,4375.51,1.05856e+07
Tel-aviv,TLV,2968.7,1.05886e+07
Krasnodar,KRR,630.524,1.05892e+07
Rimini,RMI,2652.37,1.05919e+07
Krasnodar,KRR,3535.14,1.05954e+07
Moscow,SVO,1658.29,1.05971e+07
Villafranca,VRN,3219.29,1.06003e+07
Bucharest,OTP,4217.62,1.06045e+07
Pisa,PSA,3610.44,1.06081e+07
Catania,CTA,4282.58,1.06124e+07
Florence,FLR,4057.38,1.06165e+07
Cagliari,CAG,4637.03,1.06211e+07
Perugia,PEG,4525.17,1.06256e+07
Bucharest,OTP,3833.52,1.06295e+07
Moscow,SVO,2640.76,1.06321e+07
Ljubljana,LJU,3132.33,1.06352e+07
Istanbul,IST,3708.14,1.0639e+07
Yekaterinburg,SVX,1400.91,1.06404e+07
Karlovy Vary,KLV,2163.86,1.06425e+07
Yekaterinburg,SVX,4160.35,1.06467e+07
Prague,PRG,2085.61,1.06488e+07
Ostrava,OSR,4897.05,1.06537e+07
Prague,PRG,4740.35,1.06584e+07
Moscow,SVO,4322.28,1.06627e+07
Pardubice,PED,3205.77,1.06659e+07
St. Petersburg,LED,4640.75,1.06706e+07
Tashkent,TAS,3890.31,1.06745e+07
Tokyo,NRT,6296.34,1.06808e+07
Calgary,YYC,1373.59,1.06821e+07
London,YXU,13843.8,1.0696e+07
Brno,BRQ,6489.69,1.07025e+07
Exeter,STN,5856.46,1.07083e+07
Malta,MLA,6352.99,1.07147e+07
Larnaca,LCA,2379.28,1.07171e+07
Tel-aviv,TLV,298.425,1.07174e+07
Elat,ETH,581.671,1.07179e+07
Tel-aviv,TLV,657.93,1.07186e+07
Heraklion,HER,994.195,1.07196e+07
Graz,GRZ,3215.35,1.07228e+07
Vienna,VIE,4553.25,1.07274e+07
Innsbruck,INN,4785.79,1.07321e+07
Vienna,VIE,4960.62,1.07371e+07
Linz,LNZ,4673.02,1.07418e+07
Salzburg,SZG,4946.2,1.07467e+07
Istanbul,IST,4027.25,1.07507e+07
Lisbon,LIS,4510.78,1.07553e+07
Santa Maria (island),SMA,8325.89,1.07636e+07
Ponta Delgada,PDL,9571.64,1.07732e+07
Flores,FLW,10183.9,1.07833e+07
Ponta Delgada,PDL,10212.2,1.07935e+07
Frankfurt,FRA,8271.72,1.08018e+07
Faro,FAO,6192.41,1.0808e+07
Lisbon,LIS,7054.41,1.08151e+07
Lajes (terceira Island),TER,8619.55,1.08237e+07
Graciosa Island,GRW,10099,1.08338e+07
Lajes (terceira Island),TER,10104.2,1.08439e+07
Horta,HOR,10107.1,1.0854e+07
Lisbon,LIS,8974.61,1.0863e+07
Pico,PIX,8711.17,1.08717e+07
Ponta Delgada,PDL,9934.19,1.08816e+07
Lisbon,LIS,8640.78,1.08903e+07
Porto Santo,PXO,7373.43,1.08976e+07
Lisbon,LIS,7483.56,1.09051e+07
Ponta Delgada,PDL,8427.86,1.09135e+07
Sao Jorge Island,SJZ,9907.6,1.09235e+07
Ponta Delgada,PDL,9920.7,1.09334e+07
Frankfurt,FRA,8271.72,1.09416e+07
Tokyo,NRT,10298.3,1.09519e+07
Portland,PDX,1122.41,1.09531e+07
Pendleton,PDT,11535,1.09646e+07
Portland,PDX,11922.5,1.09765e+07
Amsterdam,AMS,16548,1.09931e+07
Rhodos,RHO,5338.9,1.09984e+07
Bergamo,BGY,3483,1.10019e+07
Mostar,OMO,4673.15,1.10066e+07
Bergamo,BGY,4396.68,1.1011e+07
Athens,ATH,4213.92,1.10152e+07
Istanbul,IST,1935.61,1.10171e+07
Sarajevo,SJJ,2637.38,1.10197e+07
Istanbul,IST,3052.64,1.10228e+07
Bergamo,BGY,3484.83,1.10263e+07
Arad,ARW,4647.69,1.10309e+07
Bergamo,BGY,4265.43,1.10352e+07
Bucharest,OTP,4367.42,1.10396e+07
Baia Mare,BAY,2982.04,1.10425e+07
Bucharest,OTP,3146.38,1.10457e+07
Cluj-napoca,CLJ,2912.48,1.10486e+07
Bergamo,BGY,4094.63,1.10527e+07
Craiova,CRA,4445.69,1.10571e+07
Bergamo,BGY,3964.34,1.10611e+07
Bucharest,OTP,4367.42,1.10655e+07
Iasi,IAS,2697.78,1.10682e+07
Bucharest,OTP,2702.41,1.10709e+07
Oradea,OMR,3042.86,1.10739e+07
Bucharest,OTP,3246.4,1.10772e+07
Vienna,VIE,3484.26,1.10807e+07
Sibiu,SBZ,4023.22,1.10847e+07
Bucharest,OTP,2924.35,1.10876e+07
Satu Mare,SUJ,3022.88,1.10906e+07
Bucharest,OTP,3208.47,1.10938e+07
Beauvais,BVA,4675.97,1.10985e+07
Tirgu Mures,TGM,5661.48,1.11042e+07
Bucharest,OTP,2950.98,1.11071e+07
Timisoara,TSR,3000.39,1.11101e+07
Bucharest,OTP,3195.16,1.11133e+07
Geneva,GVA,4119.72,1.11174e+07
Lugano,LUG,5699.58,1.11231e+07
Zurich,ZRH,5535.24,1.11287e+07
Vienna,VIE,5246.61,1.11339e+07
Bern,BRN,5004.59,1.11389e+07
Vienna,VIE,5305.49,1.11442e+07
Altenrhein,ACH,4910.13,1.11491e+07
Vienna,VIE,5149.9,1.11543e+07
Ankara,ESB,3565.03,1.11579e+07
Trabzon,TZX,799.955,1.11587e+07
Adana,ADA,196.696,1.11588e+07
Nicosia,ECN,240.679,1.11591e+07
Gaziantep,GZT,190.669,1.11593e+07
Istanbul,IST,1077.3,1.11604e+07
Konya,KYA,1378.15,1.11617e+07
Istanbul,IST,1255.54,1.1163e+07
Merzifon,MZH,1374.64,1.11644e+07
Istanbul,IST,1213.66,1.11656e+07
Sivas,VAS,1314.63,1.11669e+07
Istanbul,IST,1107.07,1.1168e+07
Malatya,MLX,1288.33,1.11693e+07
Istanbul,IST,1061.19,1.11704e+07
Kayseri,ASR,1321.64,1.11717e+07
Istanbul,IST,1136.3,1.11728e+07
Denizli,DNZ,1481.28,1.11743e+07
Istanbul,IST,1436.67,1.11757e+07
Tashkent,TAS,2871.91,1.11786e+07
Tokyo,NRT,6296.34,1.11849e+07
Denver,DEN,3127.65,1.1188e+07
Riverton WY,RIW,12967.8,1.1201e+07
Denver,DEN,13040.3,1.1214e+07
Frankfurt,FRA,15555.1,1.12296e+07
Izmir,ADB,4723.99,1.12343e+07
Elazig,EZS,1239.16,1.12355e+07
Izmir,ADB,964.806,1.12365e+07
Diyabakir,DIY,1256.04,1.12378e+07
Istanbul,IST,1079.6,1.12388e+07
Erzincan,ERC,1288.06,1.12401e+07
Istanbul,IST,1040.57,1.12412e+07
Erzurum,ERZ,1292.63,1.12425e+07
Istanbul,IST,1034.77,1.12435e+07
Tashkent,TAS,2871.91,1.12464e+07
Tokyo,NRT,6296.34,1.12527e+07
Denver,DEN,3127.65,1.12558e+07
Montrose CO,MTJ,13031.8,1.12688e+07
Denver,DEN,12599.4,1.12814e+07
Frankfurt,FRA,15555.1,1.1297e+07
Ankara,ESB,4657.23,1.13016e+07
Van,VAN,903.45,1.13025e+07
Istanbul,IST,1154.22,1.13037e+07
Batman,BAL,1319.89,1.1305e+07
Istanbul,IST,1100.01,1.13061e+07
Skopje,SKP,2244.5,1.13084e+07
Istanbul,IST,2529.45,1.13109e+07
Antalya,AYT,1401.26,1.13123e+07
Birmingham,BHX,4981.85,1.13173e+07
Gibraltar,GIB,7157.5,1.13244e+07
Birmingham,BHX,7275.29,1.13317e+07
Larnaca,LCA,6024.75,1.13377e+07
Belgrade,BEG,2250.14,1.134e+07
Podgorica,TGD,3453.1,1.13434e+07
Istanbul,IST,2811.22,1.13463e+07
Pristina,PRN,2333.55,1.13486e+07
Istanbul,IST,2648.21,1.13512e+07
Ufa,UFA,1356.9,1.13526e+07
Moscow,SVO,1182,1.13538e+07
Tivat,TIV,2628.75,1.13564e+07
Belgrade,BEG,3498.98,1.13599e+07
Prague,PRG,4265.1,1.13642e+07
Bratislava,BTS,4864.6,1.1369e+07
Kosice,KSC,4244.12,1.13733e+07
Bratislava,BTS,4098.05,1.13774e+07
Bergamo,BGY,4734.41,1.13821e+07
Santiago,SCQ,6285.33,1.13884e+07
Providenciales,PLS,12180.3,1.14006e+07
South Caicos,XSC,12403.9,1.1413e+07
Ubari,GDT,12354.8,1.14253e+07
Tripoli,TIP,7548.28,1.14329e+07
Cairo,CAI,2171.51,1.14351e+07
Milano,MXP,3510.32,1.14386e+07
La Romana,LRM,9105.77,1.14477e+07
Madrid,MAD,10320.6,1.1458e+07
Punta Cana,PUJ,10000.4,1.1468e+07
Frankfurt,FRA,10219.4,1.14782e+07
Puerto Plata,POP,9298.8,1.14875e+07
Frankfurt,FRA,10539.1,1.1498e+07
Santo Domingo,SDQ,9140.22,1.15072e+07
Madrid,MAD,10381.5,1.15176e+07
Guatemala City,GUA,11533.8,1.15291e+07
Tegucigalpa,TGU,11611.1,1.15407e+07
La Ceiba,LCE,11630.2,1.15523e+07
San Pedro Sula,SAP,11829.8,1.15642e+07
La Ceiba,LCE,11768.5,1.15759e+07
Guanaja,GJA,11823.7,1.15878e+07
La Ceiba,LCE,11924.1,1.15997e+07
Roatan,RTB,11826.6,1.16115e+07
Miami,MIA,11919.1,1.16234e+07
Montego Bay,KIN,12912.9,1.16363e+07
Houston,IAH,12798.1,1.16491e+07
Acapulco,ACA,13057.1,1.16622e+07
Tijuana,TIJ,10924.3,1.16731e+07
Aguascalientes,AGU,11712.9,1.16848e+07
Mexico City,MEX,11721.1,1.16966e+07
Huatulco,HUX,11761.3,1.17083e+07
Mexico City,MEX,11415.3,1.17197e+07
Ciudad Del Carmen,CME,11786.7,1.17315e+07
Mexico City,MEX,11978.8,1.17435e+07
Culiacan,CUL,11470.8,1.1755e+07
Tijuana,TIJ,11054.8,1.1766e+07
Ciudad Obregon,CEN,11276.1,1.17773e+07
Mexico City,MEX,11868.9,1.17892e+07
Campeche,CPE,11788.9,1.1801e+07
Mexico City,MEX,12177.7,1.18131e+07
Ciudad Juarez,CJS,11401.2,1.18245e+07
Chihuahua,CUU,12169.2,1.18367e+07
Mexico City,MEX,12255.7,1.1849e+07
Ciudad Victoria,CVM,11600.1,1.18606e+07
Mexico City,MEX,12137,1.18727e+07
Cancun,CUN,11828,1.18845e+07
Cozumel,CZM,12440.5,1.1897e+07
Mexico City,MEX,12443,1.19094e+07
Durango,DGO,11517.2,1.19209e+07
Tijuana,TIJ,11273.4,1.19322e+07
Tepic,TPQ,11632.4,1.19438e+07
Tijuana,TIJ,10944.7,1.19548e+07
Guadalajara,GDL,11719.9,1.19665e+07
Hermosillo,HMO,11126,1.19776e+07
Tijuana,TIJ,11176.4,1.19888e+07
Colima,CLQ,11755.9,1.20006e+07
Mexico City,MEX,11382.7,1.20119e+07
Saltillo,SLW,11546.5,1.20235e+07
Mexico City,MEX,12223.3,1.20357e+07
Lazard Cardenas,LZC,11635.6,1.20473e+07
Mexico City,MEX,11322.8,1.20587e+07
Los Mochis,LMM,11439.7,1.20701e+07
Tijuana,TIJ,10997.7,1.20811e+07
Del Bajio,BJX,11770.1,1.20929e+07
Tijuana,TIJ,11225.4,1.21041e+07
La Paz,LAP,11360.5,1.21155e+07
Goroka,,5743.23,1.21212e+07
Port Moresby,POM,5141.79,1.21263e+07
Nandi,NAN,4961.1,1.21313e+07
Los Angeles,LAX,3777.03,1.21351e+07
Loreto,LTO,11289.9,1.21464e+07
Los Angeles,LAX,10756.8,1.21571e+07
Mexico City,MEX,11960.4,1.21691e+07
Matamoros,MAM,11591,1.21807e+07
Mexico City,MEX,12447.7,1.21931e+07
Merida,MID,11784.4,1.22049e+07
Guadalajara,GDL,12349.9,1.22173e+07
Mexicali,MXL,11015.7,1.22283e+07
Mexico City,MEX,12051.4,1.22403e+07
Morelia,MLM,11626,1.2252e+07
Mexico City,MEX,11594,1.22636e+07
Minatitlan,MTT,11751.1,1.22753e+07
Mexico City,MEX,11766,1.22871e+07
Monterrey,MTY,11554.6,1.22986e+07
Mazatlan,MZT,12128.4,1.23108e+07
Mexico City,MEX,11641.6,1.23224e+07
Nuevo Laredo,NLD,11539.2,1.23339e+07
Mexico City,MEX,12511.8,1.23464e+07
Oaxaca,OAX,11734.6,1.23582e+07
Mexico City,MEX,11524.8,1.23697e+07
Poza Rico,PAZ,11667.8,1.23814e+07
Mexico City,MEX,11881.4,1.23933e+07
Guadalajara,GDL,11583.3,1.24048e+07
Puebla,PBC,11554.9,1.24164e+07
Guadalajara,GDL,11598.5,1.2428e+07
Mexico City,MEX,11533.6,1.24395e+07
Piedras Negras,PDS,11510.4,1.2451e+07
Mexico City,MEX,12583.7,1.24636e+07
Tijuana,TIJ,11287.1,1.24749e+07
Uruapan,UPN,11809,1.24867e+07
Los Angeles,LAX,10964.1,1.24977e+07
Puerto Vallarta,PVR,11673.5,1.25094e+07
Mexico City,MEX,11435.4,1.25208e+07
Puerto Escondido,PXM,11746.6,1.25325e+07
Mexico City,MEX,11380.6,1.25439e+07
Tijuana,TIJ,11287.1,1.25552e+07
Queretaro,QRO,11833,1.2567e+07
Cancun,CUN,11913.2,1.25789e+07
Reynosa,REX,12532.5,1.25915e+07
Guadalajara,GDL,12363.1,1.26038e+07
San Jose Del Cabo,SJD,11248,1.26151e+07
Tijuana,TIJ,10657.3,1.26258e+07
San Luis Potosi,SLP,11743.7,1.26375e+07
Mexico City,MEX,11862.7,1.26494e+07
Torreon,TRC,11512.9,1.26609e+07
Guadalajara,GDL,11964.3,1.26728e+07
Tuxtla Gutierrez,TGZ,11735.2,1.26846e+07
Mexico City,MEX,11680,1.26962e+07
Tampico,TAM,11636.5,1.27079e+07
Monterrey,MTY,11952.8,1.27198e+07
Toluca,TLC,12290.8,1.27321e+07
San Jose Del Cabo,SJD,11413.3,1.27435e+07
Mexico City,MEX,11427.6,1.2755e+07
Tapachula,TAP,11840.3,1.27668e+07
Mexico City,MEX,11519.3,1.27783e+07
Villahermosa,VSA,11780.9,1.27901e+07
Vera Cruz,VER,11866.1,1.2802e+07
Tijuana,TIJ,11534.2,1.28135e+07
Zacatecas,ZCL,11656.5,1.28252e+07
Los Angeles,LAX,11286.5,1.28365e+07
Zihuatanejo,ZIH,11938.1,1.28484e+07
Los Angeles,LAX,10823.1,1.28592e+07
Manzanillo,ZLO,11756.8,1.2871e+07
Houston,IAH,11155.1,1.28821e+07
Managua,MGA,13233.1,1.28954e+07
San Jose,SJO,11379.4,1.29067e+07
Bocas Del Toro,BOC,11124.7,1.29179e+07
San Jose,SJO,11093.4,1.2929e+07
David,DAV,11116.1,1.29401e+07
Panama,PAC,10904.8,1.2951e+07
Contadora Island,OTD,11043.7,1.2962e+07
Sinop,SIC,10347.9,1.29724e+07
Brasilia,BSB,5590.76,1.2978e+07
Panama City,PTY,8587.26,1.29865e+07
San Jose,SJO,11078.7,1.29976e+07
Golfito,GLF,11127.4,1.30088e+07
San Jose,SJO,11012.3,1.30198e+07
Liberia,LIR,11172.2,1.30309e+07
San Jose,SJO,11211.9,1.30422e+07
Nosara Beach,NOB,11170,1.30533e+07
La Fortuna/San Carlos,TMU,11147.5,1.30645e+07
Quepos,XQP,11198.4,1.30757e+07
Palmar Sur,PMZ,11073.4,1.30867e+07
San Jose,SJO,11043.3,1.30978e+07
San Salvador,SAL,11246.2,1.3109e+07
Panama City,PTY,11492.7,1.31205e+07
Port-au-prince,PAP,11010.5,1.31315e+07
Cap Haitien,CAP,12030.6,1.31436e+07
Port-au-prince,PAP,12115.4,1.31557e+07
Panama City,PTY,11913.8,1.31676e+07
Havana,HAV,11305.4,1.31789e+07
Cayo Largo del Sur,CYO,12725.6,1.31916e+07
Havana,HAV,12627,1.32043e+07
Camaguey,CMW,12669,1.32169e+07
Havana,HAV,12685.4,1.32296e+07
Santiago De Cuba,SCU,12618.3,1.32422e+07
Havana,HAV,12568.3,1.32548e+07
Guantanamo,GAO,12610.1,1.32674e+07
Havana,HAV,12593.4,1.328e+07
Holguin,HOG,12637.3,1.32926e+07
Havana,HAV,12646.8,1.33053e+07
Santa Clara,SNU,12715.1,1.3318e+07
Cayo Coco,CCC,12674.7,1.33307e+07
Varadero,VRA,12770.3,1.33434e+07
Frankfurt,FRA,11837.2,1.33553e+07
Miami,MIA,10398,1.33657e+07
Cayman Barac,CYB,13003.6,1.33787e+07
Georgetown,GCM,12362,1.3391e+07
Miami,MIA,11552.3,1.34026e+07
Marsh Harbor,MHH,13078.5,1.34157e+07
Nassau,NAS,13178.2,1.34288e+07
Spring Point,AXP,12868.3,1.34417e+07
Nassau,NAS,12777.1,1.34545e+07
Fort Lauderdale,FLL,13103.7,1.34676e+07
Treasure Cay,TCB,13121.5,1.34807e+07
Fort Lauderdale,FLL,13289.3,1.3494e+07
Alice Town,BIM,13137,1.35071e+07
Fort Lauderdale,FLL,13138.9,1.35203e+07
Great Exuma,GGT,13032.9,1.35333e+07
Nassau,NAS,12875.3,1.35462e+07
North Eleuthera,ELH,13006.6,1.35592e+07
Nassau,NAS,13071.2,1.35723e+07
Governor's Harbor,GHB,12993.6,1.35853e+07
Nassau,NAS,13054.8,1.35983e+07
Rock Sound,RSD,12980.5,1.36113e+07
Nassau,NAS,13014.3,1.36243e+07
Freeport,FPO,13080.6,1.36374e+07
Nassau,NAS,13163.8,1.36506e+07
Matthew Town,IGA,12825.6,1.36634e+07
Nassau,NAS,12624.9,1.3676e+07
Dead Man's Cay,LGI,12913.2,1.36889e+07
Nassau,NAS,12843.3,1.37018e+07
Stella Maris,SML,12927.1,1.37147e+07
Nassau,NAS,12884.3,1.37276e+07
Mayaguana,MYG,12843.7,1.37404e+07
Nassau,NAS,12780.3,1.37532e+07
Cockburn Town,ZSA,12920.7,1.37661e+07
Fort Lauderdale,FLL,13053,1.37792e+07
San Salvador,SAL,13090.6,1.37923e+07
Belize City,BZE,11524.2,1.38038e+07
Los Angeles,LAX,12117.5,1.38159e+07
Avarua,RAR,11252,1.38272e+07
Aitutaki,AIT,4052.59,1.38312e+07
Avarua,RAR,4327.43,1.38355e+07
Auckland,AKL,3302.28,1.38388e+07
Nandi,NAN,4949.54,1.38438e+07
Nausori,SUV,2898.77,1.38467e+07
Tongatapu,TBU,3582.35,1.38503e+07
Nandi,NAN,2450.18,1.38527e+07
Tarawa,TRW,2430.89,1.38552e+07
Nandi,NAN,1790.46,1.38569e+07
Wallis,WLS,2929,1.38599e+07
Nandi,NAN,1970.61,1.38618e+07
Faleolo,APW,3287.63,1.38651e+07
Honolulu,HNL,654.086,1.38658e+07
Pago Pago,PPG,5460.38,1.38712e+07
Honolulu,HNL,566.321,1.38718e+07
Papeete,PPT,7089.58,1.38789e+07
Rurutu,RUR,5332.53,1.38842e+07
Papeete,PPT,4825.67,1.38891e+07
Tubuai,TUB,5597.59,1.38947e+07
Papeete,PPT,4781.1,1.38994e+07
Tikehau,TIH,4932.63,1.39044e+07
Rangiroa,RGI,5117.99,1.39095e+07
Fakarava,FAV,5425.85,1.39149e+07
Papeete,PPT,5175.06,1.39201e+07
Manihi,XMH,5073.7,1.39252e+07
Papeete,PPT,5263.24,1.39304e+07
Takaroa,TKX,5175.44,1.39356e+07
Takapoto,TKP,5422.47,1.3941e+07
Takaroa,TKX,5398.82,1.39464e+07
Papeete,PPT,5287.49,1.39517e+07
Tikehau,TIH,4932.63,1.39566e+07
Rangiroa,RGI,5117.99,1.39618e+07
Mataiva,MVT,5033.14,1.39668e+07
Auckland,NOU,3387.57,1.39702e+07
Taupo,TUO,5918.9,1.39761e+07
Auckland,AKL,5754.84,1.39819e+07
Christchurch,CHC,5995.1,1.39879e+07
Dunedin,DUD,6729.68,1.39946e+07
Auckland,AKL,6956.81,1.40015e+07
Gisborne,GIS,6035.17,1.40076e+07
Auckland,AKL,5570.06,1.40131e+07
Christchurch,CHC,5995.1,1.40191e+07
Hokitika,HKK,6601.41,1.40257e+07
Christchurch,CHC,6809.44,1.40325e+07
Kerikeri,HLZ,6575.77,1.40391e+07
Auckland,AKL,5671.98,1.40448e+07
Kaitaia,KAT,5536.59,1.40503e+07
Auckland,AKL,5714.16,1.4056e+07
New Plymouth,NPL,5817.36,1.40619e+07
Auckland,AKL,5958.68,1.40678e+07
Nelson,NSN,5899.76,1.40737e+07
Wellington,WLG,6485.32,1.40802e+07
Invercargill,IVC,6256.54,1.40865e+07
Wellington,WLG,7391.5,1.40939e+07
Palmerston North,PMR,6326.32,1.41002e+07
Auckland,AKL,5931.17,1.41061e+07
Paraparaumu,PPQ,5986.9,1.41121e+07
Auckland,AKL,6041.09,1.41181e+07
Queenstown International,ZQN,5852.54,1.4124e+07
Auckland,AKL,7022.38,1.4131e+07
Rotorua,ROT,5893.94,1.41369e+07
Auckland,AKL,5681,1.41426e+07
Tauranga,TRG,5859.2,1.41485e+07
Wellington,WLG,5925.76,1.41544e+07
Timaru,TIU,6302.57,1.41607e+07
Wellington,WLG,6924.65,1.41676e+07
Woodbourne,BHE,6294.52,1.41739e+07
Auckland,AKL,6202.35,1.41801e+07
Whakatane,WHK,5919.57,1.4186e+07
Auckland,AKL,5609.59,1.41916e+07
Whangarei,WRE,5636.41,1.41973e+07
Wellington,WLG,5946.1,1.42032e+07
Westport,WSZ,6177.6,1.42094e+07
Wellington,WLG,6677.5,1.42161e+07
Auckland,AKL,6094.86,1.42222e+07
Wanganui,WAG,5929.2,1.42281e+07
Auckland,AKL,5957.92,1.4234e+07
Brisbane,BNE,4691.92,1.42387e+07
Klagenfurt,NTL,6050.89,1.42448e+07
Vienna,VIE,4631.23,1.42494e+07
Larnaca,LCA,3507.05,1.42529e+07
Beirut,BEY,206.799,1.42531e+07
Mashhad,MHD,2142.97,1.42553e+07
Herat,HEA,3284.12,1.42586e+07
Kabul,KBL,3941.34,1.42625e+07
Kandahar,KDH,4388.69,1.42669e+07
Mashhad,MHD,4129.49,1.4271e+07
Mazar-i-sharif,MZR,3393.99,1.42744e+07
Tehran,IKA,3533.14,1.4278e+07
Bahrain,BAH,2612.57,1.42806e+07
Cairo,CAI,2709.71,1.42833e+07
Abha,AHB,2331.21,1.42856e+07
Sharjah,SHJ,3926.31,1.42895e+07
Al-ahsa,HOF,3886.85,1.42934e+07
Jeddah,JED,3083.7,1.42965e+07
Dammam,DMM,2944.95,1.42994e+07
El-baha,ABT,3169.49,1.43026e+07
Dammam,DMM,3229,1.43058e+07
Bisha,BHH,3234.26,1.43091e+07
Jeddah,JED,3000.09,1.43121e+07
Gizan,GIZ,3115.89,1.43152e+07
Madinah,MED,3195.38,1.43184e+07
Gassim,ELQ,2344.86,1.43207e+07
Dammam,DMM,2857.86,1.43236e+07
Hail,HAS,2864.77,1.43265e+07
Dammam,DMM,2643.34,1.43291e+07
Nejran,EAM,3457.54,1.43326e+07
Riyadh,RUH,3603.41,1.43362e+07
Alexandria,HBE,2418.58,1.43386e+07
Cairo,CAI,183.266,1.43388e+07
Tabuk,TUU,800.759,1.43396e+07
Cairo,CAI,925.06,1.43405e+07
Taif,TIF,1823.51,1.43423e+07
Cairo,CAI,2121.75,1.43444e+07
Yenbo,YNB,1335.92,1.43458e+07
Cairo,CAI,1551.64,1.43473e+07
Beirut,BEY,213.78,1.43475e+07
Mashhad,MHD,2142.97,1.43497e+07
Abadan,ABD,2900.2,1.43526e+07
Teheran,THR,2386.43,1.4355e+07
Bandar Mahshahr,MRX,2280.55,1.43572e+07
Teheran,THR,2448.38,1.43597e+07
Ahwaz,AWZ,2221.54,1.43619e+07
Teheran,THR,2338.63,1.43643e+07
Bushehr,BUZ,2457.42,1.43667e+07
Teheran,THR,2760.6,1.43695e+07
Kish Island,KIH,2784.83,1.43723e+07
Teheran,THR,3309.54,1.43756e+07
Bakhtaran,KSH,2013.7,1.43776e+07
Teheran,THR,1931.23,1.43795e+07
Sanandaj,SDG,1972.8,1.43815e+07
Teheran,THR,1842.62,1.43833e+07
Rasht,RAS,1992.64,1.43853e+07
Bandar Abbas,BND,2694.25,1.4388e+07
Teheran,THR,3470.94,1.43915e+07
Kerman,KER,2737.33,1.43942e+07
Teheran,THR,3202.68,1.43974e+07
Birjand,XBJ,2718.62,1.44001e+07
Teheran,THR,3150.07,1.44033e+07
Ramsar,RZR,2053.25,1.44053e+07
Teheran,THR,1969.62,1.44073e+07
Shiraz,SYZ,2523.08,1.44098e+07
Istanbul,IST,2748.21,1.44126e+07
Tabriz,TBZ,1538.45,1.44141e+07
Teheran,THR,1565.8,1.44157e+07
Yazd,AZD,2484.48,1.44182e+07
Teheran,THR,2776.64,1.4421e+07
Chah Bahar,ZBR,3262.96,1.44242e+07
Zahedan,ZAH,4560.58,1.44288e+07
Mashhad,MHD,3897.64,1.44327e+07
Beirut,BEY,2604.27,1.44353e+07
Amman,AMM,432.102,1.44357e+07
Istanbul,IST,1217.48,1.44369e+07
Kuwait,KWI,2128.22,1.44391e+07
Abu Dhabi,AUH,3314.19,1.44424e+07
Fujeirah,FJR,4211.15,1.44466e+07
Dubai,AZI,4224.6,1.44508e+07
Muscat,MCT,4369.24,1.44552e+07
Khasab,KHS,4530.32,1.44597e+07
Muscat,MCT,4338.11,1.4464e+07
Salalah,SLL,4838.14,1.44689e+07
Jeddah,JED,4384.01,1.44733e+07
Karachi,KHI,4439.71,1.44777e+07
Faisalabad,LYP,5485.89,1.44832e+07
Karachi,KHI,5218.29,1.44884e+07
Gwadar,GWD,5336.16,1.44937e+07
Muscat,MCT,4856.68,1.44986e+07
Islamabad,ISB,4954.01,1.45036e+07
Gilgit,GIL,4889.18,1.45084e+07
Islamabad,ISB,4757.41,1.45132e+07
Lahore,LHE,5000.87,1.45182e+07
Sukkur,SKZ,5272.2,1.45235e+07
Moenjodaro,MJD,5274.72,1.45288e+07
Karachi,KHI,5318.57,1.45341e+07
Multan,MUX,5471.76,1.45395e+07
Karachi,KHI,5234.73,1.45448e+07
Panjgur,PJG,5338.76,1.45501e+07
Karachi,KHI,5102.75,1.45552e+07
Peshawar,PEW,5349.69,1.45606e+07
Sharjah,SHJ,4529.48,1.45651e+07
Quetta,UET,4475.29,1.45696e+07
Lahore,LHE,4961.42,1.45745e+07
Rahim Yar Khan,RYK,5291.09,1.45798e+07
Lahore,LHE,5369.46,1.45852e+07
Quetta,UET,5176.42,1.45904e+07
Zhob,PZH,4793.2,1.45952e+07
Quetta,UET,4814.2,1.46e+07
Sharjah,SHJ,4543.68,1.46045e+07
Basrah,BSR,3631.6,1.46082e+07
Doha,DOH,2934.52,1.46111e+07
Tokyo,NRT,8769.43,1.46199e+07
