City,Airport Code,Trip Distance (km),Total Distance (km)
Thunder Bay,YQT,14929.6,2.12624e+06
Timmins,YTS,15425.6,2.14167e+06
Moosonee,YMO,15987.2,2.15765e+06
Timmins,YTS,16298.5,2.17395e+06
Yellowknife,YYZ,15861.8,2.18981e+06
Edmonton,YEG,14267.9,2.20408e+06
High Level,YOJ,13310.7,2.21739e+06
Edmonton,YEG,13544.2,2.23094e+06
Winnipeg,YWG,13589.9,2.24453e+06
Thunder Bay,YQT,14929.6,2.25946e+06
Webequie,YWP,15435.3,2.27489e+06
Pickle Lake,YPL,16113.2,2.29101e+06
Thunder Bay,YQT,15701.7,2.30671e+06
Winnipeg,YWG,15440.6,2.32215e+06
Vancouver,YVR,14750.2,2.3369e+06
Prince Pupert,YPR,11789.2,2.34869e+06
Vancouver,YVR,11562.1,2.36025e+06
Fort Mcmurray,YMM,11834.1,2.37208e+06
Fort Chipewyan,YPY,13963.8,2.38605e+06
Fort Mcmurray,YMM,14219.7,2.40027e+06
Red Deer Industrial,YQF,13985.4,2.41425e+06
Calgary,YYC,13205.9,2.42746e+06
Windsor,YQG,13814.2,2.44127e+06
Calgary,YYC,15453.4,2.45673e+06
Lethbridge,YQL,13098.5,2.46982e+06
Calgary,YYC,13043.8,2.48287e+06
Orlando,MCO,14298.2,2.49717e+06
Moncton,YQM,13467.4,2.51063e+06
Orlando,MCO,15417.3,2.52605e+06
Las Vegas,LAS,13997.3,2.54005e+06
Regina,YQR,11424.2,2.55147e+06
Calgary,YYC,14019.2,2.56549e+06
Grande Prairie,YQU,13022.8,2.57851e+06
Calgary,YYC,12989.9,2.5915e+06
Halifax,YHZ,14344.8,2.60585e+06
Gander,YQX,14987.2,2.62084e+06
Halifax,YHZ,15254.6,2.63609e+06
Sydney,YQY,15118,2.65121e+06
Vancouver,YVR,7021.58,2.65823e+06
Quesnel,YQZ,11788.3,2.67002e+06
Vancouver,YVR,12301.4,2.68232e+06
Ottawa,YOW,12969.1,2.69529e+06
Iqaluit,YFB,15971.7,2.71126e+06
Arctic Bay,YAB,18891.5,2.73015e+06
Resolute,YRB,18653.4,2.74881e+06
Arctic Bay,YAB,17783.8,2.76659e+06
Iqaluit,YFB,18433.8,2.78502e+06
Ottawa,YOW,17408.5,2.80243e+06
Toronto,YTZ,15737.5,2.81817e+06
Sudbury,YSB,15483.7,2.83365e+06
Toronto,YTZ,15672,2.84933e+06
St. John,YSJ,15179.2,2.8645e+06
Yellowknife,YYZ,15978.2,2.88048e+06
Fort Smith,YSM,14242.6,2.89473e+06
Yellowknife,YZF,14233.7,2.90896e+06
Deline,YWJ,14253.9,2.92321e+06
Tulita,ZFN,13335.4,2.93655e+06
Norman Wells,YVQ,13210.1,2.94976e+06
Inuvik,YEV,13297.7,2.96306e+06
Sachs Harbour,YSY,12840.8,2.9759e+06
Inuvik,YEV,14188.1,2.99008e+06
Norman Wells,YVQ,12800,3.00288e+06
Yellowknife,YZF,13170.1,3.01605e+06
Ottawa,YOW,15017.8,3.03107e+06
Iqaluit,YFB,15971.7,3.04704e+06
Cape Dorset,YTE,18197.6,3.06524e+06
Coral Harbour,YZS,18225.4,3.08347e+06
Rankin Inlet,YRT,17783.8,3.10125e+06
Thompson,YTH,16770.1,3.11802e+06
Winnipeg,YWG,15447.4,3.13347e+06
Yellowknife,YYZ,15068.7,3.14854e+06
Deline,YWJ,14253.9,3.16279e+06
Tulita,ZFN,13335.4,3.17613e+06
Norman Wells,YVQ,13210.1,3.18934e+06
Inuvik,YEV,13297.7,3.20263e+06
Tuktoyaktuk,YUB,12896.5,3.21553e+06
Inuvik,YEV,13059,3.22859e+06
Norman Wells,YVQ,12800,3.24139e+06
Yellowknife,YZF,13170.1,3.25456e+06
Ottawa,YOW,15017.8,3.26958e+06
Iqaluit,YFB,15971.7,3.28555e+06
Hall Beach,YUX,18573.2,3.30412e+06
Iqaluit,YFB,18161,3.32228e+06
Quujjuaq,YVP,17625.5,3.33991e+06
Kuujjuarapik,YGW,17474.2,3.35738e+06
Rouyn,YUY,16799.3,3.37418e+06
Repulse Bay,YUL,15847.6,3.39003e+06
Rankin Inlet,YRT,17768,3.4078e+06
Iqaluit,YFB,16819.7,3.42462e+06
Pangnirtung,YXP,17838.1,3.44246e+06
Broughton Island,YVM,17863.3,3.46032e+06
Pangnirtung,YXP,17833.7,3.47815e+06
Iqaluit,YFB,17894.1,3.49605e+06
Ottawa,YOW,17408.5,3.51346e+06
Quebec,YQB,15609.4,3.52907e+06
Montreal,YHU,15869,3.54493e+06
Val D'or,YVO,15899.4,3.56083e+06
Montreal,YHU,15857.5,3.57669e+06
Vancouver,YVR,16838.9,3.59353e+06
Williams Lake,YWL,11793.1,3.60532e+06
Vancouver,YVR,12258.4,3.61758e+06
Cranbrook,YXC,11857.8,3.62944e+06
Vancouver,YVR,12667.6,3.64211e+06
Saskatoon,YXE,11941,3.65405e+06
Calgary,YYC,13990.2,3.66804e+06
Medicine Hat,YXH,13115.7,3.68115e+06
Calgary,YYC,13313.6,3.69447e+06
Fort Saint John,YXJ,13015.5,3.70748e+06
Vancouver,YVR,12853.3,3.72034e+06
Winnipeg,YWG,12163.5,3.7325e+06
Red Lake,YRL,14873.3,3.74737e+06
Sioux Lookout,YXL,15338.8,3.76271e+06
Red Lake,YRL,15396.8,3.77811e+06
Winnipeg,YWG,15318.4,3.79343e+06
Vancouver,YVR,14750.2,3.80818e+06
Prince George,YXS,11785.4,3.81996e+06
Terrace,YXT,12362.2,3.83232e+06
Vancouver,YVR,11789.3,3.84411e+06
Calgary,YYC,11860.6,3.85597e+06
Abbotsford,YXX,13033.6,3.86901e+06
Edmonton,YEG,11914.9,3.88092e+06
Whitehorse,YXY,13372.2,3.8943e+06
Vancouver,YVR,11760.6,3.90606e+06
Newark,EWR,13212.4,3.91927e+06
Toronto,YTZ,15306.5,3.93457e+06
North Bay,YYB,15454.6,3.95003e+06
Yellowknife,YYZ,15708.8,3.96574e+06
Calgary,YYC,14279.4,3.98002e+06
Vancouver,YVR,13029.1,3.99305e+06
Smithers,YYD,11782.6,4.00483e+06
Prince George,YXS,11966.7,4.0168e+06
Fort Nelson,YYE,12359.8,4.02916e+06
Prince George,YXS,12921.6,4.04208e+06
Vancouver,YVR,12378.4,4.05446e+06
Penticton,YYF,11824.2,4.06628e+06
Vancouver,YVR,12228.4,4.07851e+06
Cancun,CUN,13509.8,4.09202e+06
Halifax,YHZ,12446,4.10446e+06
Charlottetown,YYG,15274.3,4.11974e+06
Yellowknife,YYZ,16082.8,4.13582e+06
Deline,YWJ,14253.9,4.15008e+06
Tulita,ZFN,13335.4,4.16341e+06
Norman Wells,YVQ,13210.1,4.17662e+06
Inuvik,YEV,13297.7,4.18992e+06
Holman Island,YHI,12780.4,4.2027e+06
Coppermine,YCO,14777.6,4.21748e+06
Cambridge Bay,YCB,14751.3,4.23223e+06
Spence Bay,YYH,16043.4,4.24827e+06
Yellowknife,YZF,17333.9,4.26561e+06
Calgary,YYC,14279.4,4.27988e+06
Victoria,YYJ,13030.4,4.29291e+06
San Francisco,SFO,11838.9,4.30475e+06
Chicago,MDW,11581.5,4.31634e+06
Toronto,YTZ,14778.7,4.33111e+06
Timmins,YTS,15527.5,4.34664e+06
Kapuskasing,YYU,15987,4.36263e+06
Thunder Bay,YQT,16078.9,4.37871e+06
Toronto,YTZ,15418.3,4.39413e+06
Quebec,YQB,15314.1,4.40944e+06
Mont Joli,YYY,15794.4,4.42523e+06
Goroka,,12982.2,4.43822e+06
Port Moresby,POM,5141.79,4.44336e+06
Tokyo,NRT,9232.63,4.45259e+06
Vancouver,YVR,794.678,4.45339e+06
Sandspit,YZP,11790.4,4.46518e+06
Vancouver,YVR,11296.3,4.47647e+06
Newark,EWR,13212.4,4.48968e+06
Toronto,YTZ,15306.5,4.50499e+06
Sarnia,YZR,15446,4.52044e+06
Yellowknife,YYZ,15208.9,4.53565e+06
Calgary,YYC,14279.4,4.54993e+06
Vancouver,YVR,13029.1,4.56295e+06
Port Hardy,YZT,11782.5,4.57474e+06
Vancouver,YVR,11503.8,4.58624e+06
Yellowknife,YYZ,12882.1,4.59912e+06
Deline,YWJ,14253.9,4.61338e+06
Tulita,ZFN,13335.4,4.62671e+06
Norman Wells,YVQ,13210.1,4.63992e+06
Inuvik,YEV,13297.7,4.65322e+06
Fort Mcpherson,ZFM,12894.2,4.66611e+06
Inuvik,YEV,12641.7,4.67876e+06
Norman Wells,YVQ,12800,4.69156e+06
Yellowknife,YZF,13170.1,4.70473e+06
Ottawa,YOW,15017.8,4.71974e+06
Frankfurt,FRA,13775.7,4.73352e+06
Marseille,MRS,5800.77,4.73932e+06
Bejaja,BJA,5256.94,4.74458e+06
Algier,ALG,4894.01,4.74947e+06
Ouargla,OGX,4602.19,4.75407e+06
El Golea,ELG,4118.91,4.75819e+06
Tamanrasset,TMR,3579.28,4.76177e+06
Ghardaia,GHA,3621.68,4.76539e+06
Oran,ORN,4929.36,4.77032e+06
Annaba,AAE,5024.45,4.77535e+06
Oran,ORN,4874.19,4.78022e+06
Constantine,CZL,5064.39,4.78529e+06
Algier,ALG,4733.49,4.79002e+06
Tebessa,TEE,4651.07,4.79467e+06
Algier,ALG,4556.29,4.79923e+06
Oran,ORN,5247.57,4.80447e+06
Hassi Messaoud,HME,4818.14,4.80929e+06
Tilrempt,HRM,4183.99,4.81348e+06
Algier,ALG,4788.2,4.81826e+06
Tiaret,TID,5080.7,4.82335e+06
Algier,ALG,5109.45,4.82845e+06
Tlemcen,TLM,5263.47,4.83372e+06
Algier,ALG,5340.69,4.83906e+06
Ouargla,OGX,4602.19,4.84366e+06
Adrar,AZR,4141.6,4.8478e+06
Constantine,CZL,4436.59,4.85224e+06
Lyon,LYS,5276,4.85752e+06
Biskra,BSK,5315.23,4.86283e+06
Algier,ALG,4710.54,4.86754e+06
Ouargla,OGX,4602.19,4.87214e+06
Adrar,AZR,4141.6,4.87628e+06
In Salah,INZ,4080.49,4.88037e+06
Algier,ALG,4496.06,4.88486e+06
Touggourt,TGR,4630.85,4.88949e+06
Algier,ALG,4573.55,4.89407e+06
Ouargla,OGX,4602.19,4.89867e+06
Zarzaitine,IAM,3512.63,4.90218e+06
Hassi Messaoud,HME,3361.47,4.90554e+06
Algier,ALG,4485.45,4.91003e+06
Cairo,CAI,3722.56,4.91375e+06
Accra,ACC,569.271,4.91432e+06
Cotonou,COO,778.33,4.9151e+06
Ouagadougou,OUA,1598.3,4.9167e+06
Bobo-dioulasso,BOY,2301.49,4.919e+06
Abidjan,ABJ,1999.05,4.921e+06
Accra,ACC,1205.44,4.9222e+06
Tamale,TML,1322.26,4.92352e+06
Accra,ACC,1322.51,4.92485e+06
Sunyani,NYI,1252.07,4.9261e+06
Accra,ACC,1252.79,4.92735e+06
Takoradi,TKD,979.467,4.92833e+06
Accra,ACC,979.943,4.92931e+06
Abuja,ABV,669.998,4.92998e+06
Ibadan,IBA,419.697,4.9304e+06
Abuja,ABV,422.625,4.93082e+06
Ilorin,ILR,475.413,4.9313e+06
Abuja,ABV,478.951,4.93178e+06
Kano,KAN,433.303,4.93221e+06
Lagos,LOS,529.166,4.93274e+06
Accra,ACC,734.329,4.93347e+06
Abuja,ABV,669.998,4.93414e+06
Port Hartcourt,PHC,287.784,4.93443e+06
Abuja,ABV,288.681,4.93472e+06
Sokoto,SKO,869.925,4.93559e+06
Abuja,ABV,877.814,4.93647e+06
Yola,YOL,399.226,4.93687e+06
Abuja,ABV,400.678,4.93727e+06
Kano,KAN,433.303,4.9377e+06
N'djamena,NDJ,503.815,4.93821e+06
Niamey,NIM,1262.04,4.93947e+06
Abuja,ABV,1270.11,4.94074e+06
Kano,KAN,433.303,4.94117e+06
Cairo,CAI,415.908,4.94159e+06
Tripoli,TIP,1865.59,4.94345e+06
Monastir,MIR,3336.97,4.94679e+06
Tunis,TUN,3860.71,4.95065e+06
Gafsa,GAF,3917.17,4.95457e+06
Gabes,GAE,3736.97,4.9583e+06
Tunis,TUN,3784.87,4.96209e+06
Djerba,DJE,3758.05,4.96585e+06
Tripoli,TIP,3243.8,4.96909e+06
Sfax,SFA,3262.46,4.97235e+06
Tunis,TUN,3793.59,4.97615e+06
Tozeur,TOE,3932.25,4.98008e+06
Tunis,TUN,3957.32,4.98404e+06
Abidjan,ABJ,3099.25,4.98714e+06
Lome,LFW,1157.48,4.98829e+06
Abuja,ABV,579.007,4.98887e+06
Kano,KAN,433.303,4.98931e+06
Cairo,CAI,415.908,4.98972e+06
Larnaca,LCA,186.019,4.98991e+06
Yekaterinburg,SVX,397.926,4.99031e+06
Tashkent,TAS,1662.05,4.99197e+06
Tokyo,NRT,6296.34,4.99826e+06
Calgary,YYC,1373.59,4.99964e+06
London,YXU,13843.8,5.01348e+06
Antwerp,ANR,7189.95,5.02067e+06
Southend,LCY,7029.84,5.0277e+06
Venice,VCE,6446.38,5.03415e+06
Brussels,BRU,5706.6,5.03985e+06
Paphos,PFO,5162.64,5.04502e+06
Charleroi,CRL,4228.47,5.04925e+06
Rhodos,RHO,5171.56,5.05442e+06
Liege,LGG,4307.25,5.05872e+06
Palma de Mallorca,PMI,6072.21,5.0648e+06
Ostend,OST,6352.56,5.07115e+06
Liege,LGG,6814.46,5.07796e+06
Rhodos,RHO,5081.91,5.08305e+06
Berlin,SXF,3740.67,5.08679e+06
Antalya,AYT,4352.32,5.09114e+06
Dresden,DRS,3491.73,5.09463e+06
Antalya,AYT,4188.6,5.09882e+06
Erfurt,ERF,3727.76,5.10255e+06
Antalya,AYT,4482.25,5.10703e+06
Munster,FMO,4120.82,5.11115e+06
Antalya,AYT,4971.06,5.11612e+06
Hamburg,HAM,4049.2,5.12017e+06
Cologne,CGN,6204.07,5.12637e+06
Tel-aviv,TLV,4866.34,5.13124e+06
Duesseldorf,DUS,4107.02,5.13535e+06
Munich,MUC,5978,5.14133e+06
Nuernberg,NUE,5393.36,5.14672e+06
Antalya,AYT,4307.85,5.15103e+06
Leipzig,LEJ,3653.94,5.15468e+06
Palma de Mallorca,PMI,5467.28,5.16015e+06
Saarbruecken,SCN,5890.98,5.16604e+06
Palma de Mallorca,PMI,5803.81,5.17184e+06
Stuttgart,STR,5704.31,5.17755e+06
Hannover,TXL,5704.59,5.18325e+06
Antalya,AYT,4785.6,5.18804e+06
Bremen,BRE,4104.07,5.19214e+06
Chania,CHQ,5024.54,5.19717e+06
Hahn,HHN,4268.23,5.20143e+06
Thessaloniki,SKG,5016.44,5.20645e+06
Berlin,SXF,4112.52,5.21056e+06
Mannheim,MHG,5667.92,5.21623e+06
Hannover,TXL,5824.18,5.22205e+06
Palma de Mallorca,PMI,5790.97,5.22785e+06
Luebeck,LBC,5961.84,5.23381e+06
Palma de Mallorca,PMI,5787.89,5.2396e+06
Paderborn,PAD,5955.43,5.24555e+06
Antalya,AYT,4810.82,5.25036e+06
Istanbul,IST,1309.62,5.25167e+06
Dortmund,DTM,4146.28,5.25582e+06
Izmir,ADB,4985.12,5.2608e+06
Istanbul,IST,1677.46,5.26248e+06
Marseille,MRS,3671.57,5.26615e+06
Augsburg,AGB,5610.91,5.27176e+06
Marseille,MRS,5465.03,5.27723e+06
